
---------- Begin Simulation Statistics ----------
simSeconds                                   0.221574                       # Number of seconds simulated (Second)
simTicks                                 221574407152                       # Number of ticks simulated (Tick)
finalTick                                221574407152                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1408.14                       # Real time elapsed on the host (Second)
hostTickRate                                157352056                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8703712                       # Number of bytes of host memory used (Byte)
simInsts                                    388181042                       # Number of instructions simulated (Count)
simOps                                      421914038                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   275668                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     299624                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        465492453                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               1.196915                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               0.835481                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       512583233                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                   541447                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      491057052                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                 437871                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             91210641                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          57646550                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 393                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           465218784                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.055540                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.228176                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 217170733     46.68%     46.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  98123805     21.09%     67.77% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  79599947     17.11%     84.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  52640539     11.32%     96.20% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  13184353      2.83%     99.03% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   3922119      0.84%     99.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    577287      0.12%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         1      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             465218784                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                11192936     29.79%     29.79% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                 634494      1.69%     31.48% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                   91256      0.24%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 5      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatDiv                     0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMisc                    0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatSqrt                    0      0.00%     31.73% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAdd                   8256      0.02%     31.75% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::SimdAddAcc                   0      0.00%     31.75% # attempts to use FU when none available (Count)
