
---------- Begin Simulation Statistics ----------
simSeconds                                   0.100954                       # Number of seconds simulated (Second)
simTicks                                 100953903232                       # Number of ticks simulated (Tick)
finalTick                                100953903232                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    995.08                       # Real time elapsed on the host (Second)
hostTickRate                                101453497                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8616988                       # Number of bytes of host memory used (Byte)
simInsts                                    230470462                       # Number of instructions simulated (Count)
simOps                                      321829483                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   231611                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     323422                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           476                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                        212088033                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.920137                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.086794                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       334291031                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    12099                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      338345713                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  37285                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined             12473646                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          14110158                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 233                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           211811821                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.597388                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.320879                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                  55483524     26.19%     26.19% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  47696317     22.52%     48.71% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                  59475529     28.08%     76.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                  30348115     14.33%     91.12% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  14121217      6.67%     97.79% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   4005686      1.89%     99.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    629336      0.30%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     52097      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 7                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             211811821                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                 4537378     10.56%     10.56% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                  26702      0.06%     10.62% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                    2521      0.01%     10.63% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                668148      1.56%     12.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                  5348      0.01%     12.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    24      0.00%     12.20% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult               212515      0.49%     12.69% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc             98988      0.23%     12.92% # attempts to use FU when none available (Count)
